SAMD11,NM_152486.2
NPNT,NM_001184691.1
TBCK,NM_001163435.2
AIMP1,NM_004757.3
DKK2,NM_014421.2
CYP2U1,NM_183075.2
HADH,NM_005327.4
ETNPPL,NM_031279.3
COL25A1,NM_198721.3
SEC24B,NM_006323.3
MCUB,NM_017918.4
PLA2G12A,NM_030821.4
CFI,NM_000204.3
RRH,NM_006583.2
LRIT3,NM_198506.4
EGF,NM_001963.4
PITX2,NM_153427.2
PITX2,NM_000325.5
PITX2,NM_153426.2
ZGRF1,NM_018392.4
LARP7,NM_016648.3
ANK2,NM_001148.4
CAMK2D,NM_172115.2
PRSS12,NM_003619.3
METTL14,NM_020961.3
SEC24D,NM_014822.2
MYOZ2,NM_016599.4
FABP2,NM_000134.3
PDE5A,NM_033430.2
MAD2L1,NM_002358.3
PRDM5,NM_018699.3
QRFPR,NM_198179.2
BBS7,NM_176824.2
TRPC3,NM_001130698.1
KIAA1109,NM_015312.3
IL2,NM_000586.3
IL21,NM_021803.3
BBS12,NM_152618.2
NUDT6,NM_007083.4
SPATA5,NM_145207.2
SPRY1,NM_001258038.1
ANKRD50,NM_001167882.1
FAT4,NM_024582.4
INTU,NM_015693.3
HSPA4L,NM_014278.2
PLK4,NM_014264.4
MFSD8,NM_152778.2
SCLT1,NM_144643.3
PCDH10,NM_032961.2
PABPC4L,NM_001114734.1
PCDH18,NM_019035.4
NAA15,NM_057175.3
RAB33B,NM_031296.1
MGST2,NM_002413.4
UCP1,NM_021833.4
TBC1D9,NM_015130.2
ZNF330,NM_014487.5
GAB1,NM_207123.2
SMARCA5,NM_003601.3
FREM3,NM_001168235.1
GYPB,NM_002100.5
GYPA,NM_002099.6
ANAPC10,NM_001256706.1
ABCE1,NM_002940.2
OTUD4,NM_001102653.1
SMAD1,NM_005900.2
MMAA,NM_172250.2
EDNRA,NM_001957.3
PRMT9,NM_138364.3
NR3C2,NM_000901.4
DCLK2,NM_001040261.4
LRBA,NM_006726.4
MAB21L2,NM_006439.4
FBXW7,NM_033632.3
TRIM2,NM_001130067.1
TMEM131L,NM_001131007.1
TLR2,NM_003264.3
DCHS2,NM_017639.3
PLRG1,NM_002669.3
FGB,NM_005141.4
FGA,NM_000508.3
FGA,NM_021871.2
FGG,NM_000509.4
LRAT,NM_004744.4
NPY2R,NM_000910.3
GUCY1A1,NM_000856.5
TDO2,NM_005651.3
GLRB,NM_000824.4
GRIA2,NM_001083619.1
FAM198B,NM_001031700.2
ETFDH,NM_004453.3
FNIP2,NM_020840.1
FSTL5,NM_020116.4
NAF1,NM_138386.2
MSMO1,NM_006745.4
CPE,NM_001873.2
TLL1,NM_012464.4
PALLD,NM_016081.3
CBR4,NM_032783.4
NEK1,NM_012224.2
NEK1,NM_001199397.1
HAND2,NM_021973.2
HPGD,NM_000860.5
ADAM29,NM_001278126.1
VEGFC,NM_005429.4
NEIL3,NM_018248.2
AGA,NM_000027.3
TENM3,NM_001080477.2
DCTD,NM_001921.2
WWC2,NM_024949.5
TRAPPC11,NM_021942.5
CASP3,NM_004346.3
PRIMPOL,NM_152683.3
SLC25A4,NM_001151.3
UFSP2,NM_018359.3
PDLIM3,NM_014476.5
SORBS2,NM_001270771.1
TLR3,NM_003265.2
CYP4V2,NM_207352.3
KLKB1,NM_000892.3
F11,NM_000128.3
MTNR1A,NM_005958.3
FAT1,NM_005245.3
TRIML2,NM_001303419.1
FRG1,NM_004477.2
SDHA,NM_004168.3
AHRR,NM_020731.4
SLC9A3,NM_004174.2
TRIP13,NM_004237.3
SLC6A19,NM_001003841.2
SLC6A18,NM_182632.2
TERT,NM_198253.2
SLC6A3,NM_001044.4
NDUFS6,NM_004553.4
IRX4,NM_016358.2
IRX1,NM_024337.3
ADAMTS16,NM_139056.2
NSUN2,NM_017755.5
ADCY2,NM_020546.2
MTRR,NM_002454.2
SEMA5A,NM_003966.2
CCT5,NM_012073.3
ROPN1L,NM_031916.4
CTNND2,NM_001332.3
DNAH5,NM_001369.2
TRIO,NM_007118.2
OTULIN,NM_138348.4
ANKH,NM_054027.4
RETREG1,NM_001034850.2
MYO10,NM_012334.2
BASP1,NM_006317.4
CDH18,NM_004934.3
CDH12,NM_004061.3
PRDM9,NM_020227.2
CDH10,NM_006727.3
CDH6,NM_004932.3
DROSHA,NM_013235.4
PDZD2,NM_178140.2
MTMR12,NM_001040446.2
ZFR,NM_016107.3
NPR3,NM_000908.3
SLC45A2,NM_016180.4
AMACR,NM_014324.5
DNAJC21,NM_001012339.2
AGXT2,NM_031900.3
PRLR,NM_000949.6
IL7R,NM_002185.3
UGT3A1,NM_152404.3
NADK2,NM_001085411.2
SLC1A3,NM_004172.4
NIPBL,NM_133433.3
C5orf42,NM_023073.3
NUP155,NM_153485.2
GDNF,NM_000514.3
LIFR,NM_002310.5
OSMR,NM_003999.2
RICTOR,NM_001285439.1
FYB1,NM_001465.4
C9,NM_001737.3
DAB2,NM_001343.3
CARD6,NM_032587.3
C7,NM_000587.2
C6,NM_000065.3
PLCXD3,NM_001005473.2
OXCT1,NM_000436.3
GHR,NM_000163.4
SELENOP,NM_005410.2
NNT,NM_012343.3
FGF10,NM_004465.1
HCN1,NM_021072.3
ISL1,NM_002202.2
ITGA1,NM_181501.1
ITGA2,NM_002203.3
MOCS2,NM_004531.4
MOCS2,NM_176806.3
NDUFS4,NM_002495.2
ARL15,NM_019087.2
HSPB3,NM_006308.2
GPX8,NM_001008397.2
MCIDAS,NM_001190787.1
CCNO,NM_021147.4
IL31RA,NM_139017.5
IL6ST,NM_002184.3
MAP3K1,NM_005921.1
SETD9,NM_153706.3
ACTBL2,NM_001017992.3
PLK2,NM_006622.3
PDE4D,NM_001104631.1
ERCC8,NM_000082.3
NDUFAF2,NM_174889.4
ZSWIM6,NM_020928.1
KIF2A,NM_001098511.2
HTR1A,NM_000524.3
CWC27,NM_005869.3
ADAMTS6,NM_197941.2
PPWD1,NM_015342.3
TRIM23,NM_001656.3
ERBIN,NM_001253697.1
SREK1,NM_001077199.2
PIK3R1,NM_181523.2
PIK3R1,NM_181504.3
SLC30A5,NM_022902.4
CENPH,NM_022909.3
TAF9,NM_001015892.1
RAD17,NM_133338.2
MARVELD2,NM_001038603.2
OCLN,NM_002538.3
SMN2,NM_017411.3
SMN1,NM_000344.3
BDP1,NM_018429.2
MCCC2,NM_022132.4
CARTPT,NM_004291.3
MAP1B,NM_005909.3
TNPO1,NM_002270.3
ARHGEF28,NM_001080479.2
HEXB,NM_000521.3
GFM2,NM_032380.4
ANKRD31,NM_001164443.1
HMGCR,NM_000859.2
COL4A3BP,NM_001130105.1
POLK,NM_016218.2
POC5,NM_001099271.1
SV2C,NM_014979.3
IQGAP2,NM_006633.3
F2R,NM_001992.3
F2RL1,NM_005242.4
AGGF1,NM_018046.4
PDE8B,NM_003719.3
AP3B1,NM_003664.4
ARSB,NM_000046.3
DMGDH,NM_013391.3
BHMT,NM_001713.2
PAPD4,NM_173797.3
CMYA5,NM_153610.4
THBS4,NM_003248.4
ZFYVE16,NM_014733.4
DHFR,NM_000791.3
MSH3,NM_002439.4
ATG10,NM_001131028.1
RPS23,NM_001025.4
XRCC4,NM_022406.2
VCAN,NM_004385.4
RASA1,NM_002890.2
MEF2C,NM_002397.4
ADGRV1,NM_032119.3
NR2F1,NM_005654.5
FAM81B,NM_152548.2
TTC37,NM_014639.3
ELL2,NM_012081.5
PCSK1,NM_000439.4
CAST,NM_001042440.3
ERAP1,NM_016442.3
ERAP2,NM_022350.3
LNPEP,NM_005575.2
CHD1,NM_001270.2
SLCO4C1,NM_180991.4
PAM,NM_000919.3
PPIP5K2,NM_001281471.1
EFNA5,NM_001962.2
FBXL17,NM_001163315.2
FER,NM_005246.2
SLC25A46,NM_138773.2
slc25a46tv2,NM_001303249.1
WDR36,NM_139281.2
CAMK4,NM_001744.4
EPB41L4A,NM_022140.3
APC,NM_000038.5
MCC,NM_001085377.1
TRIM36,NM_018700.3
TMED7,NM_181836.5
CDO1,NM_001801.2
ATG12,NM_004707.3
SEMA6A,NM_001300780.1
DMXL1,NM_005509.5
HSD17B4,NM_000414.3
FTMT,NM_177478.1
LOX,NM_002317.5
SNCAIP,NM_005460.2
PRDM6,NM_001136239.1
CEP120,NM_153223.3
CSNK1G3,NM_004384.4
ALDH7A1,NM_001182.4
LMNB1,NM_005573.3
MARCH3,NM_178450.4
MEGF10,NM_032446.2
SLC12A2,NM_001046.2
FBN2,NM_001999.3
ADAMTS19,NM_133638.3
HINT1,NM_005340.6
LYRM7,NM_181705.3
FNIP1,NM_133372.2
IL3,NM_000588.3
CSF2,NM_000758.3
P4HA2,NM_004199.2
PDLIM4,NM_001131027.1
SLC22A4,NM_003059.2
SLC22A5,NM_003060.3
RAD50,NM_005732.3
IL13,NM_002188.2
SHROOM1,NM_001172700.1
GDF9,NM_005260.4
UQCRQ,NM_014402.4
AFF4,NM_014423.3
TCF7,NM_213648.3
PPP2CA,NM_002715.2
UBE2B,NM_003337.3
SAR1B,NM_001033503.2
TXNDC15,NM_024715.3
CATSPER3,NM_178019.2
PITX1,NM_002653.4
NEUROG1,NM_006161.2
IL9,NM_000590.1
LECT2,NM_002302.2
TGFBI,NM_000358.2
TRPC7,NM_020389.2
SPOCK1,NM_004598.3
KLHL3,NM_017415.2
HNRNPA0,NM_006805.3
MYOT,NM_006790.2
WNT8A,NM_058244.3
CDC23,NM_004661.3
CDC25C,NM_001790.4
KDM3B,NM_016604.3
REEP2,NM_001271803.1
EGR1,NM_001964.2
HSPA9,NM_004134.6
CTNNA1,NM_001903.3
SIL1,NM_022464.4
MATR3,NM_199189.2
MATR3,NM_001194956.1
SLC23A1,NM_005847.4
TMEM173,NM_198282.3
PURA,NM_005859.4
ANKHD1,NM_017747.2
SRA1,NM_001035235.3
APBB3,NM_133173.2
CD14,NM_000591.3
NDUFA2,NM_002488.4
DND1,NM_194249.2
HARS,NM_002109.5
HARS2,NM_012208.3
PCDHA1,NM_018900.3
PCDHA2,NM_018905.2
PCDHA3,NM_018906.2
PCDHA3,NM_031497.1
PCDHA6,NM_018909.3
PCDHA7,NM_018910.2
PCDHA9,NM_031857.1
PCDHA10,NM_018901.3
PCDHA10,NM_031859.2
PCDHA11,NM_018902.4
PCDHA12,NM_018903.3
PCDHA13,NM_018904.2
PCDHAC1,NM_018898.3
PCDHAC2,NM_018899.5
PCDHB4,NM_018938.3
PCDHB16,NM_020957.3
PCDHGA2,NM_018915.3
PCDHGA10,NM_032090.1
DIAPH1,NM_005219.4
HDAC3,NM_003883.3
ARAP3,NM_022481.5
PCDH12,NM_016580.3
SPRY4,NM_030964.3
FGF1,NM_000800.4
NR3C1,NM_001018077.1
GRXCR2,NM_001080516.1
LARS,NM_020117.9
POU4F3,NM_002700.2
PPP2R2B,NM_181678.2
DPYSL3,NM_001197294.1
SPINK1,NM_003122.4
SCGB3A2,NM_054023.4
SPINK5,NM_006846.3
FBXO38,NM_030793.4
ADRB2,NM_000024.5
SH3TC2,NM_024577.3
PPARGC1B,NM_133263.3
PDE6A,NM_000440.2
SLC26A2,NM_000112.3
HMGXB3,NM_014983.2
CSF1R,NM_005211.3
PDGFRB,NM_002609.3
CDX1,NM_001804.2
CAMK2A,NM_015981.3
ARSI,NM_001012301.2
TCOF1,NM_001135243.1
NDST1,NM_001543.4
SYNPO,NM_007286.5
DCTN4,NM_001135643.1
IRGM,NM_001145805.1
TNIP1,NM_006058.4
TNIP1,NM_001252385.1
GM2A,NM_000405.4
SLC36A2,NM_181776.2
FAT2,NM_001447.2
SPARC,NM_003118.3
GLRA1,NM_000171.3
GRIA1,NM_001114183.1
HAND1,NM_004821.2
FAXDC2,NM_032385.3
KIF4B,NM_001099293.1
SGCD,NM_000337.5
SGCD,NM_172244.2
HAVCR1,NM_012206.2
ITK,NM_005546.3
NIPAL4,NM_001099287.1
ADAM19,NM_033274.4
THG1L,NM_017872.3
LSM11,NM_173491.3
IL12B,NM_002187.2
TTC1,NM_003314.2
PWWP2A,NM_001130864.1
FABP6,NM_001040442.1
GABRB2,NM_021911.2
GABRA6,NM_000811.2
GABRA1,NM_000806.5
GABRG2,NM_000816.3
WWC1,NM_015238.2
RARS,NM_002887.3
SLIT3,NM_003062.3
DOCK2,NM_004946.2
FOXI1,NM_012188.4
KCNMB1,NM_004137.3
GABRP,NM_014211.2
TLX3,NM_021025.2
NPM1,NM_002520.6
STK10,NM_005990.3
SH3PXD2B,NM_001017995.2
DUSP1,NM_004417.3
ERGIC1,NM_001031711.2
CREBRF,NM_153607.2
NKX2-5,NM_004387.3
NKX2-5,NM_001166176.1
STC2,NM_003714.2
BOD1,NM_138369.2
MSX2,NM_002449.4
DRD1,NM_000794.3
HRH2,NM_022304.2
HIGD2A,NM_138820.2
FAF2,NM_014613.2
GPRIN1,NM_052899.2
SNCB,NM_001001502.1
EIF4E1B,NM_001099408.1
TSPAN17,NM_012171.2
HK3,NM_002115.2
UIMC1,NM_016290.4
FGFR4,NM_002011.4
NSD1,NM_022455.4
SLC34A1,NM_003052.4
F12,NM_000505.3
PDLIM7,NM_005451.4
DDX41,NM_016222.2
B4GALT7,NM_007255.2
PROP1,NM_006261.4
NHP2,NM_017838.3
PHYKPL,NM_153373.3
GRM6,NM_000843.3
ADAMTS2,NM_014244.4
HNRNPH1,NM_001257293.1
MAML1,NM_014757.4
LTC4S,NM_145867.1
SQSTM1,NM_003900.4
GFPT2,NM_005110.2
FLT4,NM_182925.4
MGAT1,NM_001114618.1
RACK1,NM_006098.4
IRF4,NM_002460.3
HUS1B,NM_148959.3
FOXF2,NM_001452.1
FOXC1,NM_001453.2
SERPINB6,NM_004568.5
NQO2,NM_000904.4
RIPK1,NM_003804.3
TUBB2A,NM_001069.2
TUBB2B,NM_178012.4
SLC22A23,NM_015482.1
LYRM4,NM_020408.5
FARS2,NM_006567.3
F13A1,NM_000129.3
RREB1,NM_001003699.3
DSP,NM_004415.2
BMP6,NM_001718.4
TFAP2A,NM_003220.2
GCNT2,NM_001491.2
MAK,NM_001242957.1
GCM2,NM_004752.3
HIVEP1,NM_002114.3
EDN1,NM_001955.4
PHACTR1,NM_030948.2
TBC1D7,NM_001143965.3
GFOD1,NM_018988.3
CD83,NM_004233.3
JARID2,NM_004973.3
DTNBP1,NM_032122.4
MYLIP,NM_013262.3
ATXN1,NM_000332.3
FAM8A1,NM_016255.2
NHLRC1,NM_198586.2
TPMT,NM_000367.3
KDM1B,NM_153042.3
CDKAL1,NM_017774.3
DCDC2,NM_016356.4
GPLD1,NM_001503.3
ALDH5A1,NM_001080.3
KIAA0319,NM_014809.3
TDP2,NM_016614.2
GMNN,NM_015895.4
RIPOR2,NM_014722.3
CARMIL1,NM_017640.5
SLC17A1,NM_005074.3
SLC17A3,NM_006632.3
TRIM38,NM_006355.4
HIST1H3B,NM_003537.3
HFE,NM_000410.3
HIST1H4C,NM_003542.3
HIST1H1E,NM_005321.2
HIST1H2BE,NM_003523.2
HIST1H2AE,NM_021052.2
BTN3A2,NM_007047.4
BTN2A2,NM_001197237.1
BTN1A1,NM_001732.2
HIST1H2BJ,NM_021058.3
HIST1H4I,NM_003495.2
PRSS16,NM_005865.3
PGBD1,NM_032507.3
ZNF311,NM_001010877.2
OR2W1,NM_030903.3
OR2J3,NM_001005216.3
OR2J2,NM_030905.2
OR12D2,NM_013936.3
OR10C1,NM_013941.3
UBD,NM_006398.3
GABBR1,NM_001470.2
MOG,NM_206809.3
ZFP57,NM_001109809.2
HLA-F,NM_001098479.1
HLA-G,NM_002127.5
HLA-A,NM_002116.7
HLA-E,NM_005516.5
DHX16,NM_003587.4
MDC1,NM_014641.2
TUBB,NM_178014.3
DDR1,NM_013994.2
GTF2H4,NM_001517.4
VARS2,NM_001167734.1
MUC21,NM_001010909.3
C6orf15,NM_014070.2
CDSN,NM_001264.4
PSORS1C1,NM_014068.2
CCHCR1,NM_001105564.1
TCF19,NM_007109.2
POU5F1,NM_002701.5
HLA-C,NM_002117.5
HLA-B,NM_005514.6
MICA,NM_001177519.2
MICB,NM_005931.4
NFKBIL1,NM_005007.3
LTA,NM_000595.3
AIF1,NM_004847.3
PRRC2A,NM_080686.2
BAG6,NM_004639.3
APOM,NM_019101.2
GPANK1,NM_033177.3
CSNK2B,NM_001320.6
LY6G6F,NM_001003693.1
MPIG6B,NM_025260.3
MSH5,NM_025259.5
SAPCD1,NM_001039651.1
VARS,NM_006295.2
HSPA1L,NM_005527.3
HSPA1B,NM_005346.4
NEU1,NM_000434.3
SLC44A4,NM_025257.2
EHMT2,NM_006709.4
C2,NM_000063.5
CFB,NM_001710.5
SKIV2L,NM_006929.4
DXO,NM_005510.3
C4A,NM_007293.2
C4B,NM_001002029.3
CYP21A2,NM_000500.7
TNXB,NM_019105.6
FKBPL,NM_022110.3
AGER,NM_001136.4
NOTCH4,NM_004557.3
BTNL2,NM_001304561.1
HLA-DRA,NM_019111.4
HLA-DRB5,NM_002125.3
HLA-DRB1,NM_002124.3
HLA-DQA1,NM_002122.3
HLA-DQB1,NM_002123.4
HLA-DQB2,NM_001300790.1
HLA-DOB,NM_002120.3
TAP2,NM_000544.3
PSMB8,NM_148919.3
TAP1,NM_000593.5
PSMB9,NM_002800.4
HLA-DMB,NM_002118.4
BRD2,NM_001199456.1
HLA-DOA,NM_002119.3
HLA-DPA1,NM_001242524.1
HLA-DPB1,NM_002121.5
COL11A2,NM_080680.2
RXRB,NM_001270401.1
WDR46,NM_001164267.1
RGL2,NM_004761.4
TAPBP,NM_003190.4
ZBTB22,NM_005453.4
SYNGAP1,NM_006772.2
ITPR3,NM_002224.3
UQCC2,NM_032340.3
LEMD2,NM_181336.3
HMGA1,NM_145899.2
RPS10,NM_001014.4
UHRF1BP1,NM_017754.3
ANKS1A,NM_015245.2
PPARD,NM_006238.4
FANCE,NM_021922.2
TULP1,NM_003322.4
FKBP5,NM_004117.3
CLPS,NM_001832.3
LHFPL5,NM_182548.3
SLC26A8,NM_052961.3
MAPK13,NM_002754.4
PNPLA1,NM_001145717.1
C6orf222,NM_001010903.4
PXT1,NM_152990.3
CDKN1A,NM_078467.2
TMEM217,NM_145316.3
BTBD9,NM_052893.1
BTBD9,NM_001172418.1
GLO1,NM_006708.2
DNAH8,NM_001206927.1
GLP1R,NM_002062.3
KCNK5,NM_003740.3
KCNK17,NM_031460.3
KIF6,NM_145027.4
MOCS1,NM_005943.5
MOCS1,NM_001075098.3
LRFN2,NM_020737.2
OARD1,NM_145063.2
TREM2,NM_001271821.1
TREM2,NM_018965.3
TREML2,NM_024807.3
TREML4,NM_198153.2
FOXP4,NM_001012426.1
USP49,NM_018561.4
MED20,NM_004275.3
CCND3,NM_001760.4
C6orf132,NM_001164446.2
GUCA1A,NM_000409.3
GUCA1B,NM_002098.5
TRERF1,NM_033502.3
UBR2,NM_015255.2
PRPH2,NM_000322.4
PTCRA,NM_001243168.1
CNPY3,NM_006586.3
GNMT,NM_018960.4
PEX6,NM_000287.3
PPP2R5D,NM_006245.3
CUL7,NM_014780.4
KLC4,NM_201523.2
PTK7,NM_152881.3
ZNF318,NM_014345.2
POLR1C,NM_203290.2
XPO5,NM_020750.2
POLH,NM_006502.2
GTPBP2,NM_019096.4
RSPH9,NM_152732.4
VEGFA,NM_001025366.2
C6orf223,NM_153246.4
SLC29A1,NM_001078177.1
SLC35B2,NM_178148.3
NFKBIE,NM_004556.2
AARS2,NM_020745.3
CDC5L,NM_001253.3
RUNX2,NM_001024630.3
CLIC5,NM_001114086.1
CYP39A1,NM_016593.4
TDRD6,NM_001010870.2
PLA2G7,NM_005084.3
MEP1A,NM_005588.2
ADGRF1,NM_153840.3
TNFRSF21,NM_014452.4
CD2AP,NM_012120.2
ADGRF4,NM_153838.3
MUT,NM_000255.3
RHAG,NM_000324.2
CRISP2,NM_003296.3
TFAP2D,NM_172238.3
TFAP2B,NM_003221.3
PKHD1,NM_138694.3
IL17F,NM_052872.3
PAQR8,NM_133367.4
EFHC1,NM_018100.3
GSTA2,NM_000846.4
GSTA3,NM_000847.4
ICK,NM_016513.4
ELOVL5,NM_021814.4
GCLC,NM_001498.3
TINAG,NM_014464.3
HCRTR2,NM_001526.3
BMP5,NM_021073.2
DST,NM_015548.4
DST,NM_001723.5
DST,NM_001144769.2
ZNF451,NM_001031623.2
RAB23,NM_183227.2
PHF3,NM_001290260.1
PHF3,NM_015153.3
EYS,NM_001142800.1
ADGRB3,NM_001704.2
LMBRD1,NM_018368.3
COL19A1,NM_001858.5
COL9A1,NM_001851.4
RIMS1,NM_014989.5
RIMS1,NM_001168410.1
KCNQ5,NM_001160133.1
KHDC3L,NM_001017361.2
MTO1,NM_012123.3
SLC17A5,NM_012434.4
CD109,NM_133493.4
COL12A1,NM_004370.5
FILIP1,NM_015687.3
MYO6,NM_004999.3
IMPG1,NM_001563.3
HTR1B,NM_000863.1
PHIP,NM_017934.5
LCA5,NM_181714.3
ELOVL4,NM_022726.3
TTK,NM_001166691.1
BCKDHB,NM_183050.2
IBTK,NM_015525.3
TPBG,NM_001166392.1
UBE3D,NM_198920.2
PGM3,NM_001199917.1
RIPPLY2,NM_001009994.2
CYB5R4,NM_016230.3
MRAP2,NM_138409.2
TBX18,NM_001080508.2
NT5E,NM_002526.3
SNX14,NM_153816.5
SYNCRIP,NM_001159673.1
ZNF292,NM_015021.1
SLC35A1,NM_006416.4
RARS2,NM_020320.3
CNR1,NM_016083.4
GABRR2,NM_002043.3
ANKRD6,NM_001242809.1
MDN1,NM_014611.2
GJA10,NM_032602.1
BACH2,NM_021813.3
MAP3K7,NM_145331.2
EPHA7,NM_004440.3
UFL1,NM_015323.4
NDUFAF4,NM_014165.3
FBXL4,NM_012160.4
USP45,NM_001080481.1
SIM1,NM_005068.2
ASCC3,NM_006828.3
GRIK2,NM_021956.4
HACE1,NM_020771.3
LIN28B,NM_001004317.3
BVES,NM_007073.4
PRDM1,NM_001198.3
ATG5,NM_004849.3
RTN4IP1,NM_032730.4
QRSL1,NM_018292.4
PDSS2,NM_020381.3
SOBP,NM_018013.3
SEC63,NM_007214.4
OSTM1,NM_014028.3
NR2E1,NM_003269.4
FOXO3,NM_001455.3
CD164,NM_006016.4
MICAL1,NM_001286613.1
ZBTB24,NM_014797.2
AK9,NM_001145128.2
AK9,NM_145025.4
FIG4,NM_014845.5
AMD1,NM_001634.5
MFSD4B,NM_153369.2
REV3L,NM_002912.4
TRAF3IP2,NM_147686.3
WISP3,NM_003880.3
LAMA4,NM_002290.4
HDAC2,NM_001527.3
FRK,NM_002031.2
COL10A1,NM_000493.3
NT5DC1,NM_152729.2
TSPYL1,NM_003309.3
DSE,NM_013352.2
RSPH4A,NM_001010892.2
GPRC6A,NM_148963.3
RFX6,NM_173560.3
ROS1,NM_002944.2
DCBLD1,NM_173674.1
GOPC,NM_020399.3
NUS1,NM_138459.3
PLN,NM_002667.3
CEP85L,NM_001042475.2
MCM9,NM_017696.2
TBC1D32,NM_152730.5
GJA1,NM_000165.4
HSF2,NM_004506.3
FABP7,NM_001446.3
TRDN,NM_006073.3
SOGA3,NM_001012279.2
PTPRK,NM_001135648.2
LAMA2,NM_000426.3
ARG1,NM_000045.3
MED23,NM_015979.3
ENPP1,NM_006208.2
STX7,NM_003569.2
TAAR9,NM_175057.3
TAAR2,NM_001033080.1
TAAR1,NM_138327.1
VNN1,NM_004666.2
EYA4,NM_004100.4
TCF21,NM_198392.2
SGK1,NM_001143676.1
HBS1L,NM_006620.3
MYB,NM_001130173.1
AHI1,NM_017651.4
BCLAF1,NM_014739.2
PEX7,NM_000288.3
SLC35D3,NM_001008783.2
IL20RA,NM_014432.3
IFNGR1,NM_000416.2
TNFAIP3,NM_006290.3
ARFGEF3,NM_020340.4
TXLNB,NM_153235.3
CITED2,NM_006079.4
ADGRG6,NM_198569.2
HIVEP2,NM_006734.3
PEX3,NM_003630.2
PLAGL1,NM_001080951.1
STX11,NM_003764.3
UTRN,NM_007124.2
EPM2A,NM_005670.3
SHPRH,NM_001042683.2
GRM1,NM_001278064.1
STXBP5,NM_001127715.2
SASH1,NM_015278.3
TAB2,NM_015093.5
SUMO4,NM_001002255.1
LATS1,NM_004690.3
NUP43,NM_198887.2
PCMT1,NM_005389.2
RAET1L,NM_130900.2
IYD,NM_203395.2
AKAP12,NM_005100.3
RMND1,NM_017909.3
CCDC170,NM_025059.3
ESR1,NM_000125.3
SYNE1,NM_033071.3
MYCT1,NM_025107.2
VIP,NM_003381.3
OPRM1,NM_000914.4
OPRM1,NM_001008505.2
CNKSR3,NM_173515.2
TIAM2,NM_012454.3
TFB1M,NM_016020.3
ARID1B,NM_020732.3
SYNJ2,NM_003898.3
SERAC1,NM_032861.3
GTF2H5,NM_207118.2
EZR,NM_003379.4
RSPH3,NM_031924.4
TAGAP,NM_054114.4
SOD2,NM_000636.2
IGF2R,NM_000876.2
SLC22A1,NM_003057.2
SLC22A2,NM_003058.3
SLC22A3,NM_021977.3
LPA,NM_005577.2
PLG,NM_000301.3
MAP3K4,NM_005922.3
PRKN,NM_004562.2
QKI,NM_006775.2
PDE10A,NM_001130690.2
TBXT,NM_003181.3
MPC1,NM_016098.3
RNASET2,NM_003730.4
UNC93A,NM_018974.3
SMOC2,NM_022138.2
THBS2,NM_003247.3
PHF10,NM_018288.3
ERMARD,NM_018341.2
DLL1,NM_005618.3
FAM120B,NM_032448.2
PSMB1,NM_002793.3
TBP,NM_003194.4
FAM20C,NM_020223.3
PRKAR1B,NM_001164761.1
DNAAF5,NM_017802.3
SUN1,NM_001130965.2
CYP2W1,NM_017781.2
MICALL2,NM_182924.3
INTS1,NM_001080453.2
MAD1L1,NM_003550.2
MRM2,NM_013393.1
NUDT1,NM_002452.3
EIF3B,NM_001037283.1
LFNG,NM_001040167.1
BRAT1,NM_152743.3
IQCE,NM_152558.4
AMZ1,NM_133463.2
CARD11,NM_032415.5
FOXK1,NM_001037165.1
AP5Z1,NM_014855.2
WIPI2,NM_001033520.1
SLC29A4,NM_153247.2
TNRC18,NM_001080495.2
FBXL18,NM_024963.4
ACTB,NM_001101.3
RNF216,NM_207111.3
PMS2,NM_000535.5
AIMP2,NM_006303.3
RAC1,NM_018890.3
DAGLB,NM_139179.3
MIOS,NM_019005.3
NDUFA4,NM_002489.3
THSD7A,NM_015204.2
TMEM106B,NM_018374.3
AGMO,NM_001004320.1
ISPD,NM_001101426.3
AHR,NM_001621.4
HDAC9,NM_058176.2
TWIST1,NM_000474.3
MACC1,NM_182762.3
ABCB5,NM_001163941.1
SP8,NM_182700.5
SP4,NM_003112.3
DNAH11,NM_001277115.1
CDCA7L,NM_018719.4
IL6,NM_000600.3
FAM126A,NM_032581.3
KLHL7,NM_001031710.2
TRA2A,NM_013293.4
NPY,NM_000905.3
MPP6,NM_016447.3
GSDME,NM_004403.2
OSBPL3,NM_015550.3
CYCS,NM_018947.5
HNRNPA2B1,NM_031243.2
SNX10,NM_001199835.1
HOXA1,NM_005522.4
HOXA2,NM_006735.3
HOXA4,NM_002141.4
HOXA10,NM_018951.3
HOXA11,NM_005523.5
HOXA13,NM_000522.4
CREB5,NM_182898.3
CPVL,NM_031311.3
CHN2,NM_004067.3
SCRN1,NM_001145514.1
FKBP14,NM_017946.3
NOD1,NM_006092.2
GARS,NM_002047.2
INMT,NM_006774.4
MINDY4,NM_032222.2
AQP1,NM_198098.2
GHRHR,NM_000823.3
CCDC129,NM_001257967.1
NT5C3A,NM_016489.12
RP9,NM_203288.1
BBS9,NM_198428.2
BMPER,NM_133468.4
NPSR1,NM_207173.1
TBX20,NM_001077653.2
EEPD1,NM_030636.2
ANLN,NM_018685.4
AOAH,NM_001177506.1
AOAH,NM_001637.3
NME8,NM_016616.4
SFRP4,NM_003014.3
POU6F2,NM_007252.3
YAE1D1,NM_020192.4
CDK13,NM_003718.4
